# microbench_flash_attn — Option C (stride) + Option A (production conditions)
# Platform: QUALCOMM Snapdragon(TM)
# Device:   QUALCOMM Adreno(TM) 830
# Model: n_h_q=12 n_h_kv=2 dk=128 dv=128 cap=8192 Q1_WG_SIZE=64 layers=28
# Build opts: -DDK=128 -DDV=128 -DBLOCK_M=32 -DBLOCK_N=32 -cl-std=CL2.0 -cl-mad-enable -cl-unsafe-math-optimizations -cl-finite-math-only -cl-fast-relaxed-math

engine,layout,variant,n_kv,median_us,mean_us,min_us,max_us,iters
llm_rs2,HeadMajor,Single,258,202.24,204.40,199.94,211.97,30
llm_rs2,HeadMajor,Single,1025,513.02,511.97,497.92,523.01,30
llm_rs2,HeadMajor,Single,2047,891.14,887.99,856.83,898.05,30
llm_rs2,HeadMajor,Single,4472,1835.01,1830.76,1758.98,1840.13,30
llm_rs2,HeadMajor,Repeat28,258,5702.91,5719.42,5666.82,5830.40,30
llm_rs2,HeadMajor,Repeat28,1025,13502.21,13547.43,13406.72,15268.35,30
llm_rs2,HeadMajor,Repeat28,2047,23585.79,23555.00,23379.46,23638.53,30
llm_rs2,HeadMajor,Repeat28,4472,47504.90,47682.00,47427.84,49558.02,30
llm_rs2,HeadMajor,Repeat28Mask,258,5708.54,5708.45,5692.16,5726.98,30
llm_rs2,HeadMajor,Repeat28Mask,1025,13504.26,13495.09,13425.41,13543.94,30
llm_rs2,HeadMajor,Repeat28Mask,2047,23948.80,23973.07,23846.14,25256.70,30
llm_rs2,HeadMajor,Repeat28Mask,4472,49042.94,49115.36,48818.18,50603.78,30
llm_rs2,HeadMajor,Repeat28MaskQ,258,5696.26,5697.62,5686.78,5712.90,30
llm_rs2,HeadMajor,Repeat28MaskQ,1025,13517.06,13519.39,13444.35,13600.77,30
llm_rs2,HeadMajor,Repeat28MaskQ,2047,23925.50,23975.71,23804.67,25798.66,30
llm_rs2,HeadMajor,Repeat28MaskQ,4472,49033.98,49106.26,48753.66,50868.99,30
llm_rs2,PosMajor,Single,258,201.98,202.44,199.94,206.08,30
llm_rs2,PosMajor,Single,1025,481.02,481.37,477.95,485.12,30
llm_rs2,PosMajor,Single,2047,843.01,842.33,837.89,849.15,30
llm_rs2,PosMajor,Single,4472,1736.96,1737.47,1726.98,1754.88,30
llm_rs2,PosMajor,Repeat28,258,5708.03,5708.94,5694.21,5724.16,30
llm_rs2,PosMajor,Repeat28,1025,13597.70,13661.45,13573.63,15433.73,30
llm_rs2,PosMajor,Repeat28,2047,23807.23,23779.00,23666.69,23869.44,30
llm_rs2,PosMajor,Repeat28,4472,48505.34,48575.83,48267.52,49887.23,30
llm_rs2,PosMajor,Repeat28Mask,258,5725.18,5724.13,5706.75,5744.64,30
llm_rs2,PosMajor,Repeat28Mask,1025,13758.72,13741.29,13652.99,13800.45,30
llm_rs2,PosMajor,Repeat28Mask,2047,23954.69,23942.37,23842.82,24009.73,30
llm_rs2,PosMajor,Repeat28Mask,4472,48868.86,48974.50,48717.06,50560.77,30
llm_rs2,PosMajor,Repeat28MaskQ,258,5716.74,5717.93,5705.73,5731.33,30
