position,score,token_type
0,5.059914,bos
1,0.004017,prompt
2,0.004024,prompt
3,0.004031,prompt
4,0.004026,prompt
5,0.014437,structural
6,0.004029,prompt
7,0.004024,prompt
8,0.004019,prompt
9,0.004026,prompt
10,0.004022,prompt
11,0.004017,prompt
12,0.004024,prompt
13,0.004031,prompt
14,0.004026,prompt
15,0.004022,prompt
16,0.004029,prompt
17,0.004024,prompt
18,0.004019,prompt
19,0.004026,prompt
20,0.014437,structural
21,0.004017,prompt
22,0.004024,prompt
23,0.004031,prompt
24,0.004026,prompt
25,0.004022,prompt
26,0.004029,prompt
27,0.004024,prompt
28,0.004019,prompt
29,0.004026,prompt
30,0.004022,prompt
31,0.004017,prompt
32,0.004024,prompt
33,0.004031,prompt
34,0.004026,prompt
35,0.004022,prompt
36,0.004029,prompt
37,0.004024,prompt
38,0.004019,prompt
39,0.004026,prompt
40,0.004022,prompt
41,0.004017,prompt
42,0.004024,prompt
43,0.004031,prompt
44,0.004026,prompt
45,0.014437,structural
46,0.004029,prompt
47,0.004024,prompt
48,0.004019,prompt
49,0.004026,prompt
50,0.004022,prompt
51,0.004017,prompt
52,0.004024,prompt
53,0.004031,prompt
54,0.004026,prompt
55,0.004022,prompt
56,0.004029,prompt
57,0.004024,prompt
58,0.004019,prompt
59,0.004026,prompt
60,0.004022,prompt
61,0.004017,prompt
62,0.004024,prompt
63,0.004031,prompt
64,0.004026,prompt
65,0.004022,prompt
66,0.004029,prompt
67,0.004024,prompt
68,0.004019,prompt
69,0.004026,prompt
70,0.014437,structural
71,0.004017,prompt
72,0.004024,prompt
73,0.004031,prompt
74,0.004026,prompt
75,0.004022,prompt
76,0.004029,prompt
77,0.004024,prompt
78,0.004019,prompt
79,0.004026,prompt
80,0.004022,prompt
81,0.004017,prompt
82,0.004024,prompt
83,0.004031,prompt
84,0.004026,prompt
85,0.004022,prompt
86,0.004029,prompt
87,0.004024,prompt
88,0.004019,prompt
89,0.004026,prompt
90,0.004022,prompt
91,0.004017,prompt
92,0.004024,prompt
93,0.004031,prompt
94,0.004026,prompt
95,0.004022,prompt
96,0.004029,prompt
97,0.004024,prompt
98,0.004019,prompt
99,0.004026,prompt
100,0.014437,structural
101,0.004017,prompt
102,0.004024,prompt
103,0.004031,prompt
104,0.004026,prompt
105,0.004022,prompt
106,0.004029,prompt
107,0.004024,prompt
108,0.004019,prompt
109,0.004026,prompt
110,0.004022,prompt
111,0.004017,prompt
112,0.004024,prompt
113,0.004031,prompt
114,0.004026,prompt
115,0.004022,prompt
116,0.004029,prompt
117,0.004024,prompt
118,0.004019,prompt
119,0.004026,prompt
120,0.004022,prompt
121,0.004017,prompt
122,0.004024,prompt
123,0.004031,prompt
124,0.004026,prompt
125,0.014437,structural
126,0.004029,prompt
127,0.004024,prompt
128,0.082180,generated
129,0.080615,generated
130,0.079182,generated
131,0.077960,generated
132,0.076828,generated
133,0.075778,generated
134,0.074689,generated
135,0.073676,generated
136,0.072823,generated
137,0.072021,generated
138,0.071267,generated
139,0.070446,generated
140,0.069678,generated
141,0.069044,generated
142,0.068443,generated
143,0.067873,generated
144,0.067223,generated
145,0.066613,generated
146,0.066123,generated
147,0.065656,generated
148,0.065210,generated
149,0.064677,generated
150,0.064176,generated
151,0.063787,generated
152,0.063415,generated
153,0.063058,generated
154,0.062610,generated
155,0.062188,generated
156,0.061874,generated
157,0.061571,generated
158,0.061280,generated
159,0.060896,generated
160,0.060535,generated
161,0.060277,generated
162,0.060028,generated
163,0.059788,generated
164,0.059453,generated
165,0.059139,generated
166,0.058925,generated
