domain,policy,decay,budget,prefill_tok,ppl,n_evictions,qcf_sum_caote,tokens_evicted
literary,sliding,n/a,200,200,322.7781,1,0.55178,64
literary,h2o,0.0,200,200,328.2578,1,0.01527,64
literary,h2o,0.7,200,200,327.1248,1,0.01933,64
literary,h2o,0.8,200,200,327.3976,1,0.02091,64
literary,h2o,0.9,200,200,327.5157,1,0.01895,64
encyclopedic,sliding,n/a,200,200,216.5767,1,0.40851,64
encyclopedic,h2o,0.0,200,200,218.9727,1,0.02062,64
encyclopedic,h2o,0.7,200,200,218.5133,1,0.01832,64
encyclopedic,h2o,0.8,200,200,218.1263,1,0.01881,64
encyclopedic,h2o,0.9,200,200,217.5577,1,0.01919,64
technical,sliding,n/a,200,200,277.8159,1,0.60473,64
technical,h2o,0.0,200,200,262.8472,1,0.01483,64
technical,h2o,0.7,200,200,266.2436,1,0.01710,64
technical,h2o,0.8,200,200,268.0673,1,0.01738,64
technical,h2o,0.9,200,200,267.4144,1,0.01803,64
conversational,sliding,n/a,200,200,198.5369,1,0.65831,64
conversational,h2o,0.0,200,200,197.2185,1,0.01610,64
conversational,h2o,0.7,200,200,196.3764,1,0.01557,64
conversational,h2o,0.8,200,200,196.8493,1,0.01642,64
conversational,h2o,0.9,200,200,197.0081,1,0.01388,64
news,sliding,n/a,200,200,262.4507,1,0.60686,64
news,h2o,0.0,200,200,265.9899,1,0.01544,64
news,h2o,0.7,200,200,265.3801,1,0.01846,64
news,h2o,0.8,200,200,265.4788,1,0.01641,64
news,h2o,0.9,200,200,265.4637,1,0.01711,64
