domain,actual_layer,kv_head,mpc,redundant_fraction
ppl01L_literary,0,0,0.587411,0.996212
ppl01L_literary,0,1,0.549539,0.996212
ppl01L_literary,0,2,0.269609,0.996212
ppl01L_literary,0,3,0.506978,0.996212
ppl01L_literary,0,4,0.374997,0.996212
ppl01L_literary,0,5,0.294679,0.996212
ppl01L_literary,0,6,0.567243,0.996212
ppl01L_literary,0,7,0.264550,0.996212
ppl01L_literary,1,0,0.586997,1.000000
ppl01L_literary,1,1,0.496321,1.000000
ppl01L_literary,1,2,0.401248,1.000000
ppl01L_literary,1,3,0.416109,1.000000
ppl01L_literary,1,4,0.387762,1.000000
ppl01L_literary,1,5,0.416281,1.000000
ppl01L_literary,1,6,0.438502,0.996212
ppl01L_literary,1,7,0.296293,1.000000
ppl01L_literary,2,0,0.341574,0.996212
ppl01L_literary,2,1,0.741157,0.996212
ppl01L_literary,2,2,0.598054,0.996212
ppl01L_literary,2,3,0.625810,0.996212
ppl01L_literary,2,4,0.291496,0.996212
ppl01L_literary,2,5,0.587314,0.996212
ppl01L_literary,2,6,0.464142,0.996212
ppl01L_literary,2,7,0.446236,0.996212
ppl01L_literary,3,0,0.583412,0.996212
ppl01L_literary,3,1,0.346878,0.996212
ppl01L_literary,3,2,0.476496,0.996212
ppl01L_literary,3,3,0.397075,0.996212
ppl01L_literary,3,4,0.667194,0.996212
ppl01L_literary,3,5,0.781059,0.996212
ppl01L_literary,3,6,0.272084,0.996212
ppl01L_literary,3,7,0.338805,0.996212
ppl01L_literary,4,0,0.292437,0.996212
ppl01L_literary,4,1,0.212583,0.996212
ppl01L_literary,4,2,0.743053,0.996212
ppl01L_literary,4,3,0.417456,0.996212
ppl01L_literary,4,4,0.525341,0.996212
ppl01L_literary,4,5,0.577204,0.996212
ppl01L_literary,4,6,0.478496,0.996212
ppl01L_literary,4,7,0.289406,0.996212
ppl01L_literary,5,0,0.697755,0.996212
ppl01L_literary,5,1,0.638093,0.996212
ppl01L_literary,5,2,0.478320,0.996212
ppl01L_literary,5,3,0.391153,0.996212
ppl01L_literary,5,4,0.267915,0.996212
ppl01L_literary,5,5,0.417778,0.996212
ppl01L_literary,5,6,0.897894,0.996212
ppl01L_literary,5,7,0.377053,0.996212
ppl01L_literary,6,0,0.317386,0.996212
ppl01L_literary,6,1,0.184548,0.996212
ppl01L_literary,6,2,0.469445,0.996212
ppl01L_literary,6,3,0.751722,0.996212
ppl01L_literary,6,4,0.657198,0.996212
ppl01L_literary,6,5,0.697316,0.996212
ppl01L_literary,6,6,0.304073,0.996212
ppl01L_literary,6,7,0.653812,0.996212
ppl01L_literary,7,0,0.255086,0.996212
ppl01L_literary,7,1,0.433689,0.996212
ppl01L_literary,7,2,0.372071,0.996212
ppl01L_literary,7,3,0.361966,0.996212
ppl01L_literary,7,4,0.725659,0.996212
ppl01L_literary,7,5,0.311341,0.996212
ppl01L_literary,7,6,0.354646,0.996212
ppl01L_literary,7,7,0.654869,0.996212
ppl01L_literary,8,0,0.329141,0.996212
ppl01L_literary,8,1,0.731730,0.996212
ppl01L_literary,8,2,0.417324,0.996212
ppl01L_literary,8,3,0.341013,0.996212
ppl01L_literary,8,4,0.446150,0.996212
