position,score
0,2.532834
1,1.294656
2,0.664512
3,2.471509
4,0.553013
5,1.152964
6,0.491757
7,0.955063
8,0.837199
9,0.935284
10,0.443449
11,0.848947
12,0.528332
13,0.851058
14,0.423508
15,0.836718
16,0.538217
17,0.770240
18,0.383674
19,0.681013
20,0.426039
21,0.731376
22,0.382556
23,0.655406
24,0.422254
25,0.682477
26,0.422703
27,0.829226
28,0.351455
29,0.537448
30,0.350436
31,0.638129
32,0.401360
33,0.598697
34,0.317227
35,0.601660
36,0.408093
37,0.981820
38,0.325808
39,0.458813
40,0.325665
41,0.468966
42,0.327792
43,0.556723
44,0.315371
45,0.512242
46,0.319921
47,0.543292
48,0.339670
49,0.550569
50,0.302381
51,0.494774
52,0.281520
53,0.511648
54,0.282378
55,0.495697
56,0.299434
57,0.490301
58,0.274152
59,0.471911
60,0.285186
61,0.467919
62,0.333543
63,0.584896
64,0.299865
65,0.577642
66,0.285294
67,0.547322
68,0.276270
69,0.528428
70,0.331610
71,0.584259
72,0.285628
73,0.603815
74,0.258581
75,0.510929
76,0.282285
77,0.568342
78,0.275345
79,0.531077
80,0.270638
81,0.488873
82,0.262081
83,0.567280
84,0.243032
85,0.465109
86,0.253455
87,0.502107
88,0.300791
89,0.593044
90,0.268541
91,0.517306
92,0.301302
93,0.554423
94,0.277077
95,0.671071
96,0.267351
97,0.568103
98,0.325569
99,0.581299
100,0.273926
101,0.523438
102,0.339729
103,0.553768
104,0.268763
105,0.648670
106,0.268572
107,0.555402
108,0.284691
109,0.531316
110,0.280536
111,0.670154
112,0.327221
113,0.797498
114,0.283184
115,0.784234
116,0.429335
117,1.424515
118,0.285642
119,0.492349
120,0.271102
121,0.436402
122,0.278566
123,0.542749
124,1.326869
125,0.609227
126,0.295590
127,0.645623
128,0.236472
129,0.596966
130,0.219692
131,0.565582
132,0.236421
133,0.569567
134,0.295410
135,0.484971
136,1.329312
137,0.642412
138,0.290584
139,0.677902
140,0.297242
141,0.562499
142,0.268901
143,0.459384
144,0.508337
145,0.630571
146,0.303718
147,0.495485
148,0.349702
149,0.417224
150,0.340840
151,0.445170
152,0.303206
153,0.613263
154,0.281984
155,0.528252
156,0.288172
157,0.582684
158,0.262291
159,0.721433
160,0.304342
161,0.413113
162,0.287755
163,0.406485
164,0.298812
165,0.499169
166,0.329928
167,0.532944
168,0.381557
169,0.683061
170,0.282400
171,0.545771
172,0.286260
173,0.757701
174,0.296037
175,0.506860
176,0.356642
177,1.151314
178,0.353136
179,0.756750
180,0.388439
181,0.883497
182,0.693343
183,1.464808
184,0.738573
185,1.173537
186,0.878085
187,1.292924
