position,score
0,2.888530
1,1.422454
2,0.605994
3,1.929363
4,0.552432
5,1.363930
6,0.530133
7,1.131851
8,0.502050
9,1.161400
10,0.590670
11,1.042321
12,0.746272
13,1.136692
14,0.517469
15,0.929421
16,0.803607
17,0.891461
18,0.525234
19,1.868181
20,0.455396
21,0.800551
22,0.418987
23,0.638350
24,0.402871
25,0.623637
26,0.428210
27,0.567536
28,0.420195
29,0.599632
30,0.359594
31,0.591940
32,0.598489
33,1.141725
34,0.364075
35,0.495005
36,0.360359
37,0.487061
38,0.470504
39,0.464258
40,0.383809
41,0.508860
42,0.337808
43,0.537182
44,0.421463
45,0.608871
46,0.346015
47,0.598498
48,0.335479
49,0.685772
50,0.350521
51,0.725116
52,0.346881
53,0.573843
54,0.352396
55,0.557959
56,0.317034
57,0.515513
58,0.420346
59,0.578661
60,0.285291
61,0.512199
62,0.488766
63,1.437957
64,0.305810
65,0.498081
66,0.326615
67,0.506137
68,0.259946
69,0.623601
70,0.276414
71,0.579465
72,0.324223
73,0.564466
74,0.290983
75,0.468425
76,0.297910
77,0.515549
78,0.345475
79,0.542176
80,0.299509
81,0.496597
82,0.302461
83,0.529678
84,0.329000
85,0.692552
86,0.298098
87,0.605532
88,0.320156
89,0.553913
90,0.285238
91,0.729729
92,0.322803
93,0.627380
94,0.276876
95,0.635007
96,0.454930
97,1.047431
98,0.304887
99,0.617400
100,0.317255
101,0.527606
102,0.280701
103,0.564390
104,0.263883
105,0.889443
106,0.294909
107,0.407375
108,0.269135
109,0.542542
110,0.289955
111,0.559536
112,0.231651
113,0.401175
114,0.249365
115,0.504878
116,0.238035
117,0.450923
118,0.232559
119,0.518670
120,0.247231
121,0.528391
122,0.299926
123,0.575558
124,0.239739
125,0.497055
126,0.261232
127,0.720782
128,0.237198
129,0.596701
130,0.258210
131,0.679618
132,0.225844
133,0.573065
134,0.225013
135,0.637284
136,0.289607
137,0.658139
138,0.258619
139,0.858378
140,0.268083
141,0.695450
142,0.238968
143,0.894089
144,1.192011
145,0.715930
146,0.217050
147,0.584614
148,0.259144
149,0.700997
150,0.271015
151,0.693679
152,0.254164
153,0.549210
154,0.280273
155,0.636561
156,0.280839
157,0.511715
158,0.297158
159,0.594819
160,0.258674
161,0.763038
162,0.310378
163,0.471707
164,0.261252
165,0.530791
166,0.323192
167,0.849710
168,0.379382
169,0.754940
170,0.430101
171,0.748495
172,0.348086
173,0.606635
174,0.331837
175,0.607955
176,0.359610
177,0.599234
