position,score
0,7.919068
1,0.028768
2,0.022391
3,0.030786
4,0.439601
5,0.309147
6,0.188069
7,0.286656
8,0.191228
9,0.129874
10,0.112725
11,0.265974
12,0.232599
13,0.352159
14,0.070964
15,0.138533
16,0.085054
17,0.144307
18,0.067757
19,0.081539
20,0.046949
21,0.026895
22,0.032164
23,0.064922
24,0.086579
25,0.024287
26,0.034125
27,0.047190
28,0.114979
29,0.036004
30,0.149594
31,0.054457
32,0.062324
33,0.075457
34,0.068482
35,0.021866
36,0.026615
37,0.020356
38,0.059178
39,0.032252
40,0.038879
41,0.028522
42,0.029976
43,0.023081
44,0.021768
45,0.035736
46,0.064032
47,0.029066
48,0.071077
49,0.077188
50,0.131920
51,0.043972
52,0.046577
53,0.073764
54,0.059872
55,0.039407
56,0.023578
57,0.030272
58,0.062146
59,0.019221
60,0.023702
61,0.020983
62,0.067622
63,0.021777
64,0.029810
65,0.053044
66,0.085332
67,0.048481
68,0.045872
69,0.048654
70,0.039231
71,0.046157
72,0.036619
73,0.049907
74,0.056771
75,0.101453
76,0.036078
77,0.042361
78,0.035197
79,0.043196
80,0.040482
81,0.026373
82,0.033784
83,0.146645
84,0.044871
85,0.059937
86,0.044115
87,0.055289
88,0.091412
89,0.091123
90,0.062315
91,0.053005
92,0.033485
93,0.029119
94,0.029154
95,0.029053
96,0.029972
97,0.030334
98,0.041430
99,0.077776
100,0.037892
101,0.033341
102,0.018207
103,0.019252
104,0.021938
105,0.026511
106,0.019216
107,0.033619
108,0.019001
109,0.033607
110,0.029937
111,0.031691
112,0.093661
113,0.059555
114,0.158654
115,0.248268
116,0.080295
117,0.104172
118,0.103275
119,0.157141
120,0.130046
121,0.085116
122,0.058176
123,0.139879
124,0.137764
125,0.073195
126,0.088664
127,0.107321
128,0.150245
129,0.105730
130,0.116739
131,0.116748
132,0.209354
133,0.102803
134,0.079593
135,0.131968
136,0.100673
137,0.076194
138,0.122198
139,0.086819
140,0.103660
141,0.107948
142,0.226029
143,0.090753
144,0.116373
145,0.104171
146,0.192638
147,0.123082
148,0.082495
149,0.058835
150,0.122141
151,0.118412
152,0.072293
153,0.080020
154,0.081593
155,0.120691
156,0.079839
157,0.094115
158,0.089006
159,0.113354
160,0.074742
161,0.060792
162,0.079910
163,0.074962
164,0.054565
165,0.064214
166,0.058957
167,0.061300
168,0.051112
169,0.212706
170,0.086624
171,0.114922
172,0.144696
173,0.309947
174,0.251929
175,0.131351
176,0.101418
177,0.130910
178,0.133520
179,0.152600
180,0.197686
181,0.148140
182,0.304950
183,0.189816
184,0.126161
185,0.192919
186,0.157174
187,0.222820
188,0.134924
189,0.123463
190,0.108456
191,0.087259
192,0.089770
193,0.066437
194,0.067390
195,0.140851
196,0.096073
197,0.078041
198,0.134255
199,0.092700
200,0.288928
201,0.117266
202,0.170081
203,0.128157
204,0.209168
205,0.104288
206,0.300408
207,0.197568
208,0.105388
209,0.145046
210,0.169665
211,0.102671
212,0.180337
213,0.158200
214,0.118814
215,0.184449
216,0.134656
217,0.095133
218,0.139345
219,0.081018
220,0.101136
221,0.138854
222,0.140103
223,0.102582
224,0.091986
225,0.119904
226,0.107921
227,0.078329
228,0.110051
229,0.064410
230,0.069775
231,0.258130
232,0.119352
233,0.184883
234,0.294761
235,0.265701
236,0.179828
237,0.411814
238,0.237946
239,0.107359
240,0.112245
241,0.120923
242,0.228824
243,0.125112
244,0.203459
245,0.138189
246,0.130775
247,0.129863
248,0.155634
249,0.159211
250,0.173486
251,0.140576
252,0.248915
253,0.125986
254,0.126055
255,0.200766
256,0.175455
257,0.243351
258,0.129521
259,0.145982
260,0.137350
261,0.142779
262,0.188865
263,0.123472
264,0.124134
265,0.113583
266,0.123156
267,0.089293
268,0.112844
269,0.106622
270,0.314392
271,0.246039
272,0.332067
273,0.199520
274,0.134512
275,0.255477
276,0.174194
277,0.181336
278,0.162783
279,0.123013
280,0.125245
281,0.160881
282,0.183167
283,0.150277
284,0.235177
285,0.153089
286,0.240620
287,0.139008
288,0.236450
289,0.130936
290,0.131042
291,0.169281
292,0.169762
293,0.119216
294,0.155229
295,0.142868
296,0.131679
297,0.108078
298,0.248568
299,0.859048
300,0.240894
301,0.504798
302,0.314767
303,0.305108
304,0.220724
305,0.205813
306,0.208601
307,0.398827
308,0.338637
309,0.439675
310,0.449363
311,0.326538
312,0.195018
313,0.321064
314,0.338143
315,0.368447
316,0.395198
317,0.713034
318,0.345250
319,0.443621
320,0.269064
321,0.194586
322,0.241378
323,0.277027
324,0.511815
325,0.317175
326,0.526986
327,0.551161
328,0.687798
329,0.505563
330,0.635237
331,0.772021
332,0.442238
333,0.400935
334,0.283798
335,0.287816
336,0.297540
337,0.388863
338,0.413481
339,0.330986
340,0.342153
341,0.395007
342,0.480537
343,0.894738
344,0.448780
345,0.576079
346,0.727692
347,0.584884
348,0.783629
349,0.635567
350,0.537154
351,0.541684
352,0.712186
353,1.069538
354,0.683718
355,0.868736
356,0.939569
357,0.688583
358,0.651525
359,1.345102
360,0.648111
361,0.570851
362,0.705329
363,0.859597
364,0.824727
365,1.543042
366,1.010836
367,1.206813
368,1.008262
369,1.182061
370,0.757916
371,0.884690
372,1.070259
373,0.665753
374,1.516738
375,1.406586
376,1.506759
377,1.487372
378,2.062853
379,1.617125
380,2.361861
381,3.380655
382,3.162201
