position,score
0,22740.669922
1,33.450165
2,22.918348
3,16.216770
4,18.371269
5,46.262341
6,43.404865
7,17.142136
8,36.625420
9,20.618738
10,22.944080
11,20.592949
12,43.655945
13,39.418259
14,29.847521
15,50.513783
16,50.641716
17,34.563232
18,71.393700
19,39.887398
20,77.664398
21,48.149021
22,21.872868
23,18.917028
24,32.040169
25,84.447517
26,41.351746
27,78.471916
28,74.278671
29,35.351994
30,77.781570
31,41.519657
32,34.895657
33,63.750195
34,30.607433
35,52.362400
36,43.021854
37,50.656170
38,65.984421
39,39.595993
40,89.292839
41,45.518967
42,50.685925
43,46.407825
44,75.078415
45,38.467186
46,51.990269
47,82.613464
48,123.609749
49,43.713314
50,82.796005
51,80.263313
52,67.480927
53,75.329239
54,135.576218
55,114.844749
56,51.598431
57,122.418526
58,76.466766
59,51.349083
60,37.906448
61,43.091972
62,93.994392
63,43.980320
64,37.964676
65,56.916382
66,49.219902
67,181.677811
68,66.740486
69,52.426952
70,79.382767
71,36.311733
72,60.507290
73,101.353676
74,53.273918
75,47.047867
76,48.189041
77,52.053040
78,35.094311
79,38.467022
80,62.886234
81,67.680954
82,98.439568
83,48.575722
84,65.495621
85,41.743439
86,145.906876
87,77.414307
88,95.518433
89,57.069798
90,88.268242
91,50.495071
92,46.998520
93,44.539536
94,70.337151
95,39.905193
96,33.560604
97,54.536980
98,41.209713
99,83.762474
100,47.862217
101,71.334084
102,62.582996
103,62.310928
104,60.132835
105,49.609219
106,31.315685
107,22.093830
108,42.859982
109,60.813087
110,124.508736
111,80.650223
112,82.493721
113,79.204865
114,48.230911
115,68.002197
116,59.082352
117,112.077995
118,77.895584
119,58.077934
120,89.041138
121,84.970314
122,70.895538
123,100.592682
124,56.282665
125,104.027054
126,124.072365
127,56.727909
128,64.665947
129,59.832920
130,108.815262
131,74.410561
132,82.451195
133,60.653671
134,72.195496
135,97.633934
136,67.184563
137,56.120422
138,105.257034
139,67.662437
140,117.744331
141,109.141624
142,39.037567
143,113.496742
144,52.103374
145,95.008812
146,155.914352
147,75.642418
148,133.946289
149,48.561405
150,104.049179
151,64.723526
152,73.857422
153,57.163155
154,81.170738
155,85.480522
156,104.403801
157,118.732536
158,85.419258
159,50.766224
160,86.037567
161,39.875507
162,70.312576
163,64.200439
164,49.238899
165,104.159538
166,86.358055
167,49.095718
168,62.011093
169,56.477654
170,97.965187
171,78.575562
172,65.556099
173,40.193432
174,96.442078
175,185.195358
176,90.013855
177,77.668526
178,71.173027
179,40.586781
180,68.472954
181,39.772114
182,55.693745
183,47.240944
184,46.595631
185,69.633400
186,77.055511
187,61.902359
188,76.529968
189,49.684914
190,79.812622
191,133.693130
192,70.765350
193,66.042595
194,66.742798
195,63.027397
196,72.239021
197,80.987946
198,66.147049
199,65.278030
200,62.550240
201,43.952934
202,44.334278
203,62.639236
204,60.208549
205,94.849007
206,96.883354
207,37.186275
208,86.246460
209,67.214157
210,101.297852
211,88.622932
212,55.574924
213,66.555748
214,51.296299
215,88.464012
216,53.403030
217,50.107101
218,41.485088
219,64.049271
220,47.540180
221,63.664989
222,108.936340
223,66.406609
224,38.331936
225,62.546371
226,37.115612
227,87.713326
228,72.218803
229,50.886898
230,75.152824
231,73.245079
232,40.984596
233,65.462753
234,64.908401
235,65.240387
236,78.161652
237,41.080784
238,36.826244
239,70.382805
240,176.165207
241,72.435730
242,60.900051
243,68.145355
244,51.422981
245,75.612907
246,33.358250
247,56.950481
248,44.788670
249,48.826485
250,74.769310
251,66.830399
252,64.208344
253,67.491051
254,41.547874
255,65.658257
256,104.090736
257,52.789227
258,60.890362
259,42.301590
260,56.676659
261,62.484745
262,64.628036
263,43.727657
264,68.374512
265,41.884312
266,48.299320
267,56.198261
268,77.808777
269,37.663219
270,63.909447
271,76.571968
272,36.354462
273,63.683922
274,42.678963
275,49.859669
276,57.750965
277,39.688782
278,49.061131
279,64.419022
280,42.154324
281,63.467640
