timestamp,phase,cell,round_idx,cpu_little,cpu_mid,cpu_prime,gpu_5,gpu_7,hex_vec,hex_mat,ddr
1779728375,before,M4,0,33.00,32.30,31.50,31.50,31.50,31.10,31.90,31.90
1779728375,after,M4,0,35.30,35.30,32.30,33.80,33.10,31.90,32.30,33.00
1779728380,before,M3,0,31.50,31.50,31.50,31.90,31.50,31.50,31.90,31.90
1779728380,after,M3,0,34.90,34.90,32.60,33.80,33.10,31.90,32.30,33.40
1779728731,before,M4,1,33.00,32.60,31.50,31.90,31.50,31.10,31.50,31.90
1779728731,after,M4,1,34.60,34.90,32.30,33.80,33.50,31.90,31.90,33.00
1779728781,before,M3,1,32.60,33.80,31.50,31.50,31.50,31.50,31.90,31.50
1779728781,after,M3,1,36.10,37.30,32.30,33.80,33.10,31.90,32.30,33.00
1779729132,before,M3,2,32.30,31.90,31.50,31.50,31.10,31.50,31.50,31.90
1779729132,after,M3,2,33.40,33.80,32.30,33.50,33.10,31.50,31.90,33.00
1779729183,before,M4,2,32.60,33.40,31.50,31.90,31.50,31.50,31.50,31.90
1779729183,after,M4,2,33.80,33.80,32.30,33.50,33.10,31.90,32.30,33.00
1779729533,before,M4,3,31.90,31.90,31.90,31.50,31.10,31.10,31.90,32.30
1779729533,after,M4,3,36.50,35.30,32.60,33.80,32.70,31.90,32.30,33.00
1779729584,before,M3,3,32.30,32.60,31.50,31.90,31.50,31.10,31.50,31.90
1779729584,after,M3,3,35.30,36.10,32.60,34.20,33.10,31.50,32.30,33.00
1779729934,before,M4,4,31.90,31.90,31.50,31.50,31.50,31.10,31.50,31.90
1779729934,after,M4,4,34.60,34.90,32.60,33.80,33.10,31.50,32.30,33.00
1779729985,before,M3,4,32.60,32.60,31.50,31.50,31.50,31.50,31.50,31.90
1779729985,after,M3,4,33.40,33.40,32.60,33.50,33.10,31.90,32.30,33.00
1779730336,before,M4,5,33.00,32.60,31.50,31.50,31.10,31.50,31.50,31.90
1779730336,after,M4,5,34.90,36.90,32.30,33.50,32.70,31.90,31.90,32.60
1779730386,before,M3,5,31.90,31.90,31.50,31.50,31.10,31.50,31.50,31.90
1779730386,after,M3,5,34.60,34.20,32.30,33.10,32.70,31.90,32.30,33.00
1779730737,before,M4,6,31.90,31.90,31.50,31.50,31.10,31.50,31.50,31.50
1779730737,after,M4,6,33.40,33.40,32.60,33.50,32.70,31.90,31.90,33.00
1779730788,before,M3,6,32.30,32.60,31.50,31.90,31.50,31.10,31.90,31.90
1779730788,after,M3,6,34.60,35.30,32.60,33.80,33.10,32.30,31.90,33.40
1779731138,before,M4,7,31.90,31.90,31.50,31.90,31.50,31.50,31.90,31.90
1779731138,after,M4,7,33.80,33.40,32.30,33.50,32.70,31.50,32.30,32.60
1779731189,before,M3,7,33.00,33.40,31.50,31.90,31.90,31.10,31.50,31.90
1779731189,after,M3,7,35.70,35.30,32.60,33.80,33.50,31.50,32.30,33.00
1779731539,before,M3,8,31.90,31.90,31.50,31.50,31.50,31.10,31.50,31.90
1779731539,after,M3,8,35.70,34.60,32.60,33.80,33.10,31.90,32.30,33.00
1779731590,before,M4,8,32.60,32.60,31.50,31.50,31.50,31.10,31.50,31.50
1779731590,after,M4,8,33.40,33.80,32.30,33.80,33.10,31.50,31.90,33.00
1779731941,before,M4,9,33.00,33.00,31.90,31.90,31.50,31.50,31.50,31.90
1779731941,after,M4,9,33.80,33.80,32.30,33.50,33.10,31.90,32.30,33.00
1779731991,before,M3,9,33.00,32.60,31.50,31.90,31.50,31.50,31.90,31.90
1779731991,after,M3,9,34.90,35.30,32.30,33.80,33.50,31.90,32.30,33.40
