timestamp,phase,cell,round_idx,cpu_little,cpu_mid,cpu_prime,gpu_5,gpu_7,hex_vec,hex_mat,ddr
1779737327,before,M7,0,33.00,33.00,31.90,31.90,31.50,31.50,31.90,31.90
1779737327,after,M7,0,34.20,33.00,31.90,31.90,31.90,31.50,32.30,32.60
1779737333,before,M6b,0,32.60,33.00,31.50,31.50,31.50,31.50,31.90,31.90
1779737333,after,M6b,0,34.20,32.60,31.90,31.90,31.90,31.90,32.30,32.60
1779737683,before,M7,1,33.00,32.60,31.50,31.90,31.50,31.50,31.90,32.30
1779737683,after,M7,1,32.60,32.30,31.90,32.30,31.90,31.50,32.30,32.30
1779737733,before,M6b,1,32.30,33.00,31.90,31.50,31.50,31.10,31.50,31.90
1779737733,after,M6b,1,32.30,32.30,31.90,31.90,31.50,31.90,32.30,32.60
1779738084,before,M6b,2,32.60,32.30,31.50,31.50,31.10,31.10,31.90,31.90
1779738084,after,M6b,2,32.30,32.30,31.90,32.30,31.50,31.50,31.90,32.30
1779738134,before,M7,2,33.40,33.00,31.50,31.90,31.50,31.10,31.90,31.90
1779738134,after,M7,2,32.30,32.30,31.90,31.90,31.50,31.50,32.30,32.60
1779738484,before,M7,3,32.60,32.30,31.50,31.90,31.50,31.10,31.90,32.30
1779738484,after,M7,3,32.30,32.30,31.90,31.90,31.90,31.50,31.90,32.30
1779738535,before,M6b,3,33.00,32.60,31.50,31.90,31.10,31.50,31.50,31.90
1779738535,after,M6b,3,32.30,32.30,31.90,31.90,31.90,31.90,31.90,32.30
1779738885,before,M7,4,33.00,32.60,31.90,31.90,31.10,31.50,31.90,31.90
1779738885,after,M7,4,32.30,32.30,31.90,32.30,31.90,31.90,31.90,32.60
1779738935,before,M6b,4,31.90,31.50,31.50,31.90,31.50,31.50,31.90,32.30
1779738935,after,M6b,4,33.00,33.40,31.90,32.30,31.50,31.50,31.90,32.60
1779739286,before,M7,5,32.60,32.30,31.90,32.30,31.90,31.90,31.90,32.30
1779739286,after,M7,5,32.60,33.00,32.30,32.70,31.90,31.90,32.60,33.00
1779739336,before,M6b,5,32.60,33.00,31.90,32.30,31.50,31.50,31.90,32.30
1779739336,after,M6b,5,33.40,33.40,32.30,32.30,31.90,31.90,32.30,32.60
1779739686,before,M7,6,33.00,33.40,31.50,31.90,31.50,31.50,31.90,32.30
1779739686,after,M7,6,33.00,32.60,31.90,31.90,31.50,31.90,32.30,32.30
1779739737,before,M6b,6,33.00,33.00,31.90,31.50,31.50,31.50,31.90,32.30
1779739737,after,M6b,6,32.60,32.60,31.90,32.30,31.90,31.90,32.30,32.60
1779740087,before,M7,7,31.90,32.30,31.90,31.90,31.50,31.50,31.90,31.90
1779740087,after,M7,7,32.30,32.30,31.90,32.30,31.90,31.90,32.30,32.30
1779740138,before,M6b,7,33.00,32.60,31.90,31.90,31.50,31.50,31.90,32.30
1779740138,after,M6b,7,32.60,32.60,32.30,31.90,31.90,31.50,32.30,32.30
1779740488,before,M6b,8,31.90,31.90,31.50,31.90,31.50,31.50,31.90,32.30
1779740488,after,M6b,8,33.00,32.60,31.90,32.30,31.90,31.90,32.30,32.30
1779740538,before,M7,8,32.30,32.30,31.50,31.90,31.50,31.50,31.90,32.30
1779740538,after,M7,8,32.30,32.30,31.50,31.90,31.90,31.50,31.90,32.30
1779740889,before,M7,9,32.30,32.30,31.50,31.50,31.50,31.50,31.90,31.90
1779740889,after,M7,9,32.60,33.00,31.90,32.30,31.90,31.50,31.90,32.30
1779740939,before,M6b,9,32.30,32.30,31.50,31.50,31.10,31.10,31.50,31.90
1779740939,after,M6b,9,33.40,33.40,31.90,32.30,31.90,31.90,32.30,32.30
