ts_s,rss_kb,vmpeak_kb
1778752045.290660090,568368,33438048
1778752046.185234501,568368,33438048
1778752047.096192580,568368,33438048
1778752048.002030925,568368,33438048
1778752048.905590669,568368,33438048
1778752049.807642258,568368,33438048
1778752050.707625698,568368,33438048
1778752051.599189738,568368,33438048
1778752052.491454306,568368,33438048
1778752053.389485830,568368,33438048
1778752054.283312690,568368,33438048
1778752055.169438609,568368,33438048
1778752056.048218823,568368,33438048
1778752056.931651457,568368,33438048
1778752057.817733982,568368,33438048
1778752058.713985367,568368,33438048
1778752059.630804924,618168,54327368
1778752060.535206516,1181184,54386516
1778752061.430514118,1776940,54386516
1778752062.323175734,2412556,54394736
1778752063.221549533,2986188,54394736
1778752064.117066251,3579228,54402932
1778752065.011447228,4171960,54402932
1778752065.905237099,4781076,54402932
1778752066.803610859,5378972,54402932
1778752067.699610043,5976800,54402932
1778752068.595700281,6598468,54402932
1778752069.486855246,7195776,54402932
1778752070.384005270,7784564,54402932
1778752071.270731712,8421396,54402932
1778752072.161488016,8978420,54402932
1778752073.049687442,9577292,54402932
1778752073.934046631,10168540,54402932
1778752074.826391635,10773036,54402932
1778752075.714852218,11345828,54402932
1778752076.605007566,11924352,54402932
1778752077.495404917,12547836,54402932
1778752078.386487505,13145164,54402932
1778752079.274975570,13736076,54402932
1778752080.157376633,14364716,54402932
1778752081.046691339,14910520,54402932
1778752081.938704489,15501400,54402932
1778752082.825061272,16085980,54402932
1778752083.722115013,16682880,54402932
1778752084.618097231,17259272,54402932
1778752085.501601834,17870636,54402932
1778752086.399187696,18476156,54402932
1778752087.283690787,19073500,54402932
1778752088.172995011,19667852,54402932
1778752089.049512322,20290752,54402932
1778752089.937245052,20872560,54402932
1778752090.832294960,21474044,54402932
1778752091.725702796,22071056,54402932
1778752092.617031823,22673740,54402932
1778752093.505793148,23255736,54402932
1778752094.396827031,23840892,54402932
1778752095.286304544,24455108,54402932
1778752096.170242577,25052464,54402932
1778752097.056546295,25633896,54402932
1778752097.926922232,26250820,54402932
1778752098.807410301,26796640,54402932
1778752099.683890707,27159896,54402932
1778752100.585779343,27353360,54402932
1778752101.552886894,26607160,54402932
1778752102.652469673,27272436,54402932
1778752103.537551310,27934008,54402932
1778752104.443749814,27980488,54402932
1778752105.462381524,26874588,54402932
1778752106.854384443,27169892,54402932
1778752107.738850323,27826072,54402932
1778752108.620960543,28002528,54402932
1778752109.640979495,27895604,54568848
1778752110.635182555,27935520,54888336
1778752111.621684860,27768968,54888336
1778752112.502352585,27632132,54888336
1778752113.398087431,27997364,54888336
1778752114.299422159,27972892,54888336
1778752115.227969989,27908716,54888336
1778752116.150484036,27680628,54888336
1778752117.047402886,27935308,54888336
1778752117.975368356,27882540,54888336
1778752118.955956947,27961440,54888336
1778752119.884965157,27996420,54888336
1778752120.784929066,28018100,54888336
1778752121.680654888,27626516,54888336
1778752122.586161348,27543808,54888336
1778752123.479102537,27628628,54888336
1778752124.362199960,27533900,54888336
1778752125.283961406,27525488,54888336
1778752126.228090261,27525564,54888336
1778752127.129621087,27519224,54888336
1778752128.061284585,27960152,54888336
1778752128.962203833,27976076,54888336
1778752129.871743242,27827576,54888336
1778752130.760682374,27650400,54888336
1778752131.677449266,27620336,54888336
1778752132.607670540,27534072,54888336
1778752133.544103055,27514260,54888336
1778752134.450635410,27964844,54888336
1778752135.362513199,27958900,54888336
1778752136.283758127,27838908,54888336
1778752137.246521481,27827616,54888336
1778752138.156090967,27683152,54888336
1778752139.054418503,27608612,54888336
1778752139.938943024,27481832,54888336
1778752140.864018604,27926348,54888336
1778752141.782003056,27931688,57498972
1778752142.778798310,27959280,57498972
1778752143.707784214,27986928,57498972
1778752144.650986438,27963596,57498972
1778752145.619589773,27951476,57787552
1778752146.538400014,27982144,58076132
1778752147.487686707,27890844,58076132
1778752148.363009131,24501620,58076132
1778752149.245325629,24661484,58076132
1778752150.126359806,24401748,58076132
1778752151.024428312,24560900,58076132
1778752151.893543284,24299548,58076132
1778752152.775571752,24471820,58076132
1778752153.647822332,24654092,58076132
1778752154.527113222,24388020,58076132
1778752155.414173952,24563540,58076132
1778752156.292510366,24305884,58076132
1778752157.171074670,24488188,58076132
1778752158.050690757,24661484,58076132
1778752158.922639165,24407820,58076132
1778752159.804098039,24577796,58076132
1778752160.679636772,24318060,58076132
1778752161.560508795,24505348,58076132
1778752162.439201927,24242212,58076132
1778752163.316805610,24432108,58076132
1778752164.197048959,24603932,58076132
1778752165.071919268,24347364,58076132
1778752165.957533076,24531484,58076132
1778752166.835814855,24269436,58076132
1778752167.722027899,24439348,58076132
1778752168.594789906,24235616,58076132
1778752169.466263797,24807436,58076132
1778752170.339775786,24270672,58076132
1778752171.238700409,24341072,58076132
1778752172.167183037,24330720,58076132
1778752173.060067931,22627116,58076132
1778752173.957736005,20611884,58076132
1778752174.847000779,18793528,58076132
1778752175.729088106,16663876,58076132
1778752176.604689607,14222664,58076132
1778752177.484195682,11781724,58076132
1778752178.360314093,11126364,58076132
1778752179.250904724,10640696,58076132
1778752180.122839465,626252,58076132
