ts_s,rss_kb,vmpeak_kb
1778753074.558537918,571116,33438432
1778753075.452729416,571116,33438432
1778753076.358265990,571116,33438432
1778753077.262948337,571116,33438432
1778753078.154537187,571116,33438432
1778753079.045017930,571116,33438432
1778753079.940060802,571116,33438432
1778753080.831355321,571116,33438432
1778753081.715150235,571116,33438432
1778753082.611387258,571116,33438432
1778753083.501947155,571116,33438432
1778753084.392537145,571116,33438432
1778753085.291292011,571116,33438432
1778753086.184746882,571360,33438432
1778753087.078975378,571360,33438432
1778753087.978695266,571360,33438432
1778753088.882998108,733184,54386516
1778753089.769404428,1276016,54386516
1778753090.668143787,1869400,54386516
1778753091.560618516,2464024,54394736
1778753092.468680148,3080732,54394736
1778753093.383144883,3672588,54402932
1778753094.281902284,4261932,54402932
1778753095.181454126,4886204,54402932
1778753096.078691447,5462460,54402932
1778753096.972321258,6051048,54402932
1778753097.862051473,6661448,54402932
1778753098.752073953,7236216,54402932
1778753099.646020252,7827160,54402932
1778753100.539478348,8418076,54402932
1778753101.436748926,9005168,54402932
1778753102.337767820,9589820,54402932
1778753103.228755224,10198436,54402932
1778753104.123113966,10804008,54402932
1778753105.015621003,11395524,54402932
1778753105.906992178,11971168,54402932
1778753106.801289634,12584112,54402932
1778753107.694396549,13168748,54402932
1778753108.593097835,13772332,54402932
1778753109.492979997,14395172,54402932
1778753110.395213802,14944320,54402932
1778753111.285531347,15546152,54402932
1778753112.177941512,16149996,54402932
1778753113.077328274,16747088,54402932
1778753113.959293775,17337040,54402932
1778753114.849425546,17939340,54402932
1778753115.748727792,18554672,54402932
1778753116.650225254,19135108,54402932
1778753117.549807936,19728104,54402932
1778753118.439220421,20351208,54402932
1778753119.338887490,20904580,54402932
1778753120.231057685,21510372,54402932
1778753121.128286722,22095704,54402932
1778753122.014648800,22700252,54402932
1778753122.906041444,23283088,54402932
1778753123.792053648,23884564,54402932
1778753124.694532366,24504076,54402932
1778753125.597007911,25078244,54402932
1778753126.496282821,25656476,54402932
1778753127.391765596,26291188,54402932
1778753128.296526403,26832932,54402932
1778753129.188029789,27132760,54402932
1778753130.119958204,27329100,54402932
1778753131.118320893,26589304,54402932
1778753132.228651111,27268576,54402932
1778753133.113649745,27910392,54402932
1778753133.999689131,27975872,54402932
1778753135.013115726,26845760,54402932
1778753136.548946818,26985860,54402932
1778753137.437201493,27643428,54402932
1778753138.321510961,27984000,54402932
1778753139.327801265,27985332,54568848
1778753140.375704024,27956492,54888336
1778753141.358656258,27938448,54888336
1778753142.298702764,27875180,54888336
1778753143.242917197,27718164,54888336
1778753144.141646252,27615892,54888336
1778753145.089447175,27604268,54888336
1778753146.021472265,27468572,54888336
1778753146.974398561,27987788,54888336
1778753147.889933116,27985816,54888336
1778753148.812391675,27972896,54888336
1778753149.763819215,27776868,54888336
1778753150.667449434,27607364,54888336
1778753151.611436992,27520528,54888336
1778753152.602075835,27611472,54888336
1778753153.520766157,27987464,54888336
1778753154.424454404,27937592,54888336
1778753155.377617352,27972760,54888336
1778753156.291180163,27972612,54888336
1778753157.219244919,28014272,54888336
1778753158.142901963,27785252,54888336
1778753159.047762629,27562880,54888336
1778753159.968627734,27661996,54888336
1778753160.869029377,27579568,54888336
1778753161.818308900,27537420,54888336
1778753162.710098390,27558444,54888336
1778753163.628640206,27981224,54888336
1778753164.532088626,27931284,54888336
1778753165.486863897,27927968,54888336
1778753166.441517002,27960444,54888336
1778753167.369336131,27954956,54888336
1778753168.291688061,27946008,54888336
1778753169.243269312,27891156,54888336
1778753170.150007055,27687068,54888336
1778753171.074646432,27685540,54888336
1778753172.000716167,27974672,57498972
1778753172.969326333,27963400,57498972
1778753173.943487659,27947416,57498972
1778753174.902867517,27950356,57787552
1778753175.848871387,27945944,57787552
1778753176.784011222,27734984,58076132
1778753177.897668308,24884424,58076132
1778753178.801352261,24217476,58076132
1778753179.696828999,24396880,58076132
1778753180.590822972,24582848,58076132
1778753181.475335197,24328920,58076132
1778753182.373067568,24507608,58076132
1778753183.264222708,24256816,58076132
1778753184.158052957,24444928,58076132
1778753185.046673026,24196840,58076132
1778753185.945004672,24389488,58076132
1778753186.846402001,24580736,58076132
1778753187.732063858,24319152,58076132
1778753188.620583211,24509192,58076132
1778753189.518330755,24262656,58076132
1778753190.418075719,24458656,58076132
1778753191.312271182,24206872,58076132
1778753192.213742025,24395032,58076132
1778753193.111458566,24590240,58076132
1778753193.999952702,24348192,58076132
1778753194.906306646,24540080,58076132
1778753195.803742728,24289584,58076132
1778753196.698065630,24481360,58076132
1778753197.584803421,24224072,58076132
1778753198.474895028,24385600,58076132
1778753199.369848340,24607096,58076132
1778753200.260591716,24258796,58076132
1778753201.159348818,24265768,58076132
1778753202.058696660,23086792,58076132
1778753202.966840729,21872432,58076132
1778753203.861599318,20669904,58076132
1778753204.755911269,19457128,58076132
1778753205.644342415,18255128,58076132
1778753206.539305889,16726256,58076132
1778753207.435088388,15409956,58076132
1778753208.344458973,14523908,58076132
1778753209.289486422,14524172,58076132
1778753210.178606328,14529492,58076132
1778753211.065387555,14471528,58076132
1778753211.962254203,14471528,58076132
1778753212.858201267,14471528,58076132
1778753213.753177120,14471528,58076132
1778753214.649122306,5302188,58076132
