mode,K,ticks,TTFT_ms,avg_TBT_ms,decode_fwd_ms,total_30tok_ms,note
Q4_only,-,-,903.22,30.52,12.15,1788,baseline no swap (F16 dtype load)
F16_only,-,-,889.20,53.73,3.48,2447,baseline no swap
K1,1,28,905.65,43.05,5.09,2153,GGUF Q4 + alias + prefault skip
K2,2,14,896.95,48.71,3.68,2309,
K3,3,10,900.05,51.31,3.52,2388,
K4,4,7,897.19,74.75,4.84,3065,anomaly - late tick latency spike
K5,5,6,893.81,48.89,3.46,2272,
K7,7,4,891.96,39.85,3.32,2048,global swap-mode min (4 exact ticks)
K7_v3,7,4,892.25,40.91,3.18,2079,retest with tbt-log
K9,9,4,913.68,47.28,3.64,2284,
K11,11,3,889.95,46.63,2.81,2241,
K13,13,3,891.40,50.92,3.16,2367,
K14,14,2,898.39,55.98,4.03,2521,exact 2 ticks
K15,15,2,900.44,49.24,3.57,2328,
K17,17,2,902.70,60.23,4.29,2649,
K19,19,2,917.96,58.71,3.66,2620,
K21,21,2,901.07,51.43,3.42,2393,
K23,23,2,908.45,49.42,3.76,2342,
K25,25,2,891.56,62.15,4.16,2694,worst (max)
K27,27,2,898.88,53.13,3.60,2439,
SS,0,1,1465.24,25.51,3.60,2205,single-shot prefill+swap
IF,-,-,912.06,55.77,3.29,1875,LISWAP-4 best total
dynk_v3,2->1,28,906.42,40.78,3.18,2089,DynamicK calibrated K=1
K1_sync_280,1,28,891.05,28.06,3.88,9742,280 tok full swap completion
K1_async_280,1,28,910.19,29.15,5.11,9784,async flag — no hide effect (sub-batch wait)
